id,title,description
240,PLAZA / TARE DRUNK barks,A drunk girl who has fallen down the stairs near the waterfront. You can steal her tare bag. She mumbles something about bottles..
241,PLAZA ORB / mullen mistaken identity conclusion,the afterthought where you learn it all...
242,PLAZA ORB / newspaperongrate,"The ad reads: ""Broken Window? Tibbs has windows!"""
243,PLAZA ORB / benchbytheocean,"Etched into the wood, barely visible: *REMEMBER THE* ...the rest is lost to time."
244,PLAZA ORB / plazatilecoat,This Shivers initiates the coat quest. It is an Easy check.
245,PLAZA / WORKING CLASS WOMAN barks,What it says on the box.
246,COAST / WOMENS RIGHTS second stage barks,"Barks for WR protester post-mercenary tribunal. The Women's Rights protester is drunk, lying in the sand. He uses the tare drunk/working class drunk idle animation."
247,COAST ORB / protester logic reaction,Seems that after the strike the women's rights activist has radicalised and... gotten sloshed.
248,INVENTORY / SMALLEST CHURCH TAPE,tape interactable in inventory; smallest church in saint-saens with all the dialogue necessary. item pickup in world.
249,COAST ORB / wearing interisolary pants,"Putting the pants on gives a one time +1 to Kingdom of Conscience, you moralist douche. This is edited now."
250,BOARDWALK ORB / arno van eyck 1,"The faded remains of a poster with the date '46. A name is faintly legible: ""Arn... v ...ck."""
251,COAST ORB / arno van eyck 2,A cluster of polychromatic flyers blow by in the breeze.
252,COAST ORB / arno van eyck 3,"A faint smell of soldering, melted insulation --  nylon and ozone."
253,COAST ORB / arno van eyck after,"Afterthought reaction orbital to those flyers, man. Do it. Talk to your stupid brain."
254,PLAZA ORB / arno van eyck 4,"A message has been carved into the wall: ""TRANCE NATION, EYCK NATION."""
255,PLAZA ORB / arno van eyck 5,The low rumble of a bass beat. Your heart repeats it.
256,PIER ORB / arno van eyck 6,"An old poster hidden below new ones: ""Arno van Eyck '49 -- THE PALISEUM."""
257,GATES ORB / arno van eyck 7,"Odd that you didn't catch this graffito earlier: ""VAN EYCK OVERDRIVE!"" it says."
258,PIER ORB / arno van eyck react,Sounds like an obscure live performance in a dirty underground bunker.
259,PLAZA ORB / arno van eyck 8,"Below the grime a dark-neon poster reads ""Van Eyck TOTALLY TRANCENDENT."""
260,CANAL ORB / faln at night,idiot doom spiral story reaction orb -- the faln rider (not) appearing at the canal at night.
261,COAST ORB / snow shivers,"If it snows when you cross the desolate beach, Shivers tells you a little about Revachol."
262,COAST ORB / roadsidethought,Dialogue that comes up as the player walks along the street. Fantasy of the other side of the pavement.
263,COAST ORB / junkmusic,Someone has left their music collection beneath the tarpaulin.
264,COAST ORB / fencehole,Someone has broken down the fence *and* the barbed wire.
265,COAST ORB / coveredboat,There's a boat tucked away underneath the tarpaulin cover.
266,COAST ORB / jamtrafficthought,Traffic beyond the gate. More abandoned motor lorries.
267,COAST ORB / icesound,"The ice just off the coast crackles, shifting."
268,COAST ORB / windowtoinside,Through the broken glass: dusty shelves and a forgotten chair.
269,COAST ORB / washingboardthought,Sounds of life in the north. A washboard scrubs filth from fabric.
270,COAST ORB / floatboat,"This boat is floating freely in the water, unmoored."
271,COAST ORB / partydrugs,"Cinderblocks, charred. A makeshift firepit with magazines for lighting."
272,COAST ORB / reflectingwater,Looking back at you from the rust coloured water: you.
273,COAST ORB / reflectingwaterthought,"CONVO: Dead industry polluted the waters. Though the boom is long forgotten, the damage continues."
274,COAST ORB / rustbarrel,"Rust-eaten letters read: ""MAZUT."""
275,COAST ORB / signtext,The sign says: 'Entrée interdite.'
276,COAST ORB / boathideout,The boathouse is shoddily constructed. A strong breeze might blow it over.
277,COAST ORB / runningwater,The water runs from the west. The source is upstream. A broken pipe?
278,COAST ORB / fishpost,A school of fish huddle around the fence post. Then scatter into the dark.
279,COAST ORB / bunkerthought,Maybe a way underground? Maybe she’s down there?
280,COAST ORB / postinsnow,Full of holes. Could the posts hide... treasure? Look inside.
281,COAST ORB / hideoutboat,Could the Instigator be hiding in the boathouse? No… that’d be too easy.
282,COAST ORB / bunker,There's a slit in the concrete here... a sewer?
283,COAST ORB / feldwindows,A conversation with SF about the inside of the building and hiding.
284,COAST ORB / dockhomethought,"That tarp will keep out neither rain, nor snow, nor wind."
285,COAST ORB / dockhome,A makeshift roof. Vagrants have tried to make the boardwalk habitable.
286,COAST ORB / weighmachine,A coin operated weighing machine. Hasn't been used for a decade.
287,COAST ORB / firstfrontwindow,Dusty pews in the shadows. Many seem to be missing.
288,COAST ORB / secondfrontwindow,An altar shrouded in dark. Or something like that – it’s too dark to tell.
289,COAST ORB / firststack,It must have taken a lot of patience to do this.
290,COAST ORB / churchladder,"From up there, one would have a great view of the ice floes out back."
291,COAST ORB / secondstack,Yellow moss on these stones... They're probably stolen from someone's garden.
292,COAST ORB / firstcheerypost,Painted with pastels. Someone is trying to bring cheer into the world.
293,COAST ORB / winchbarrel,This barrel has been recently discarded. It still smells of fuel oil.
294,COAST ORB / phone,A dead phone. A smashed receiver; like someone hung up too hard.
295,COAST ORB / electricthought,Buzz. Hum. The electricity flows through the wires with audible power.
296,COAST ORB / redwindow,White curtains have been drawn shut. No looking in.
297,COAST ORB / collapsedbridge,The beams are splintered. The bridge didn't collapse on its own. Artillery broke it.
298,COAST ORB / bluedoor,A door. A building. A hiding place. Could the Instigator be inside?!
299,COAST ORB / bluedoororb,Conversation with PhysInt.
300,COAST ORB / forgottenbuild,Construction material. Whoever planned to build this house left in a hurry.
301,COAST ORB / floatice,"The ice bobs up and down, creaking as it rubs against adjacent ice."
302,COAST ORB / seagull,There is a seagull flying somewhere along the coast. The area there should have an afterthought orbital.
303,COAST ORB / blockade,"These heavy military blockades are riddled with bullet holes, crumbling."
304,COAST ORB / redchair,You see a dark red chair in the dim light of the room.
305,COAST ORB / redchairconvo,The Red Chair Dialogue with Inland Empire.
306,COAST ORB / windyplanks,A cold breeze is enough to make the wall planks creak.
307,COAST ORB / pylonpowerbox,A breaker box to power the radio pylon above you. Maybe there's something inside?
308,COAST ORB / doorforevershut,It's not only shut -- it's filled with concrete. No getting in here.
309,COAST ORB / wordsonsign,"The sign says: ""No Entry."" Someone's scribbled an inverted star on it."
310,COAST ORB / swingpaint,Paint peels from the swing set in coin-sized flakes.
311,COAST ORB / bigblockades,Ahead: decades old concrete defences. Children play on them now.
312,COAST ORB / hearinggrove,Birds in the birch tree -- barely audible coos come from above.
313,COAST ORB / footprintsinsnow,Footprints in the snow. They lead away from the accident.
314,COAST ORB / brokenwindowdust,You see dust covered linens. Dried tulips on a bed.
315,COAST ORB / spinningtyre,A creaking ahead -- a broken axle grinding.
316,COAST ORB / theshot,The shot couldn't have come from here. Trees block the way.
317,COAST ORB / bushestoothick,The bushes are too thick and thorny to pass through.
318,COAST ORB / whettingstone,"A whetting stone, well worn and covered in rust."
319,COAST ORB / jettycreak,The planks creak beneath your weight.
320,COAST / KIM WRECKED CAR barks,
321,COAST ORB / ladderfish,The ladder leads to a school of fish swimming in the kelp.
322,COAST ORB / windowangle,You can't see into the house from this angle.
323,COAST ORB / flowertrough,A flower trough where nothing really grows. Maybe in Spring.
324,COAST ORB / windownetpicker,"Hard to see the details -- the colors, all warm and welcoming, are cozy though."
325,COAST ORB / crateboots,What are *these* doing in the fish?
326,COAST ORB / doorrattle,It's locked tight.
327,COAST ORB / frozenbottle,"A bottle, drained of all its booze, is frozen to the ice."
328,COAST ORB / cigaretteboat,There's something stashed beneath the boat.
329,COAST ORB / laughingatscene,Convo with Logic about the scene of the party
330,COAST ORB / shovelarea,Rain has washed up the foundations and it's melting away in the sea breeze.
331,COAST ORB / barredshut,The door is not only barred shut -- it is inaccessible.
332,COAST ORB / barredshuttoo,There's absolutely no way in through this door.
333,COAST ORB / buoy,A buoy bobs in the water. The number on it says: 11.
334,COAST ORB / buoyquest,Could this be the buoy Klaasje told you about?
335,COAST ORB / northboathouse,No boat in the boat house today.
336,COAST ORB / shadedbench,"Ancient paint is peeling off the roof of this shaded bench, covered in rust."
337,COAST ORB / tallbooth,An old ticket-taker booth. No longer in operation.
338,COAST ORB / garryfireplace,These soggy logs smell of ignition fluid -- still they won't light up.
339,COAST ORB / phasmidtrap,"Tiny cages, carefully constructed."
340,COAST ORB /  -- smasheddome,Someone must have worked hard to smash the plastic dome.
341,COAST ORB / drawbridge,A drawbridge -- for ease of transportation across the ice.
342,COAST ORB / winchgear,These rusty gears used to turn the whole machine.
343,COAST ORB / relaytower,"A rusted, broken control box for the radio relay tower."
344,COAST ORB / inthedistance,"Tiny inlets there -- off in the far distance, where the posts trail toward..."
345,COAST ORB / feldwindowsgreenorb,Glass windows of gigantic proportion.
346,COAST ORB / anotherbreakerbox,Another power box. It charges nothing now. It's empty.
347,COAST ORB / emptyfuelcannister,A big wine canister -- it's open and empty.
348,COAST ORB / shadowboardwalk,The boardwalk rises to your south. It casts its long shadow over you.
349,COAST ORB / shadowchurch,You feel the shadow of a very large building fall on you.
350,COAST ORB / thickice,The ice here is thick enough to walk on.
351,COAST ORB / longwaydown,It's a long way down to your death from here. 20 metres at least.
352,COAST ORB / barredshutconvo,The boards crack dangerously as you run. Be careful here.
353,COAST ORB / feldwindowsbars,"Bars cover these long, dusty windows."
354,COAST ORB / dizzyingheights,"The gusts of wind, the height feels dizzying."
355,COAST ORB / bunkerseen,This is the bunker window.
356,COAST ORB / radiorelayfinished,The radio relay hums with electricity.
357,COAST ORB / cannotpassfence,The fence blocks the path. No way on from here.
358,COAST ORB / redtarp,Vagrants have recently painted the tarp red. Water drips from it.
359,COAST ORB / tribalpaint,More tribalistic markings -- this post is covered in little humanoids.
360,COAST ORB / poleinice,A pole screwed into the ice keeps the tent erect.
361,COAST ORB / landfill,Trash from some unending party.
362,COAST ORB / summer house swing,The swing is missing -- no one's been here for a long time.
363,COAST ORB / abandoned summer house,
364,COAST ORB / living under the boat,
365,COAST ORB / gloria,"""Glory,"" says the graffito, ""to the ghosts of us!"""
366,COAST ORB / window hearing,"Inside you hear the cosy sound of some kind of heater, sputtering."
367,COAST ORB / black swallow,A little black swallow circles above you. You hear it chirrup.
368,COAST ORB / motor carriage tire,The rear tire of a motor carriage adorns these reeds.
369,COAST ORB / tire encyclo,"That's a Noland 'Vingt-Cinq', an unsuccessful model."
370,COAST ORB / tire empathy,"Relax, it's not yours. You didn't crash every mc in Revachol. (Hopefully.)"
371,COAST ORB / interfacing fire,It's almost impossible to get a fire going this near to the ocean.
372,COAST ORB / boat house afterthought,This section of the coast hasn't been used in decades.
373,COAST ORB / ticket afterthought,People paid money to park here? No one would pay now...
374,COAST ORB / phone afterthought,You can imagine why. Calls become *terrible* sometimes.
375,COAST ORB / motor carriage tire,The wheel of a motor carriage has been discarded in the reeds.
376,COAST ORB / tire empathy,"Relax, it's not yours. Not every crashed mc is yours. (Hopefully.)"
377,COAST ORB / tire encyclo,"A Noland ""Vingt-Cinq"", an unpopular model from the Thirties."
378,COAST ORB / canister elchem,Moonshine probably. Smells like tasty fermentation.
379,COAST ORB / clicked three,This is someone's home away from home. Just like yours.
380,COAST ORB / engine inside,The building before you housed the engine. Must have been a big one.
381,COAST ORB / cormorant reaction,"To your right, a white-bellied cormorant eyes you suspiciously."
382,COAST ORB / snow shivers tutorial,You should come back here when it snows... A strange feeling. It passes quickly.
383,COAST ORB / boardwalkexplainer,Nothing on the boardwalk suggests the sniper shot came from here. Maybe something will turn up later?
384,COAST ORB / boardwalkagainexp,No trace of the hanged man's shooting *on* the boardwalk -- maybe look *under* it again?
385,BACKYARD / MOTHER OF ALL WALLS,Stop everything and direct all attention to that wall -- it's sublime!
386,BACKYARD ORB / painting the wall,"FinishTask(""TASK.add_even_more_beauty_to_the_wall_done"")"
387,GARYS APARTMENT / COLONIAL MUG COLLECTION,You examine Gary's racist mugs.
388,GARYS APARTMENT ORB / man from hjelmdall poster,Whoever lives here admires fair-haired fantasy heroes with big muscles.
389,GARYS APARTMENT ORB / book on phasmids,"A book titled ""The Hidden World of Walking Sticks"" lies open."
390,GARYS APARTMENT ORB / disinfectant,The smell of disinfectant in the room. Smells like chemicals.
391,GARYS APARTMENT ORB / suitcase,A small suitcase full of clothes. Guests are staying over?
392,GARYS APARTMENT / KIM barks,Kim tells you he's not comfortable being there.
393,BACKYARD ORB / more bullet holes,Another splattering of bullet holes on this wall.
394,BACKYARD ORB / water barrels,These barrels are half-full of rainwater.
395,BACKYARD ORB / water tower,A rickety old water tower.
396,BACKYARD ORB / more bullet thoughts,quick comments with kim or not about the other bullet holes in this wall.
397,GARYS APARTMENT / DOOR,You can open this door when you get the key from Manana.
398,YARD ORB / door later,Your hear the sound of running water. Someone's washing dishes.
399,GARYS APARTMENT ORB / ask lena afterthought,This must be Gary's apartment. You should ask Lena about it.
400,BACKYARD ORB / gardenhose,A garden hose. This won't be of use until the snow melts.
401,BACKYARD ORB / emptyarch,Chairs and tables eaten by rain and rot.
402,YARD ORB / door earlier,"Just a closed door, but you look at it suspiciously."
403,GARYS APARTMENT ORB / revacholian flag,You can almost feel the warmth of the red sun on the flag.
404,GARYS APARTMENT ORB / revacholian flag2,Flag of Revachol the Suzerain.
405,WHIRLING F2 / DREAM 2 INTRO,"1. You try to get comfortable, but the bed is less than ideal.
2. You begin to drift off, but have trouble getting to sleep."
406,WHIRLING F2 / DREAM 2 HANGED MAN,"1. You have a conversation with the hanged man dressed in your disco outfit.
2. You find out that you have failed Elysium.
THE CORRECT VERSION"
407,WHIRLING F2 ORB / speed hangover,Electrochemistry informs you that you're low on amphetamines in your bloodstream.
408,DAYCHANGE / TEQUILA BED,"The dialogue between You and your bed. You can sleep, not sleep, read your ledger."
409,VILLAGE / ABIGAIL,"Don't Call Abigail -- a member of the Union of Moribund Alcoholics, who talks about (not calling) Abigail."
410,VILLAGE / ROSEMARY,"Rosemary (previously known as Under Control) -- the member of the Union of Moribund Alcoholics who sells you booze, smokes etc."
411,VILLAGE / IDIOT DOOM SPIRAL,"Idiot Doom Spiral Guy welcomes the return of Tequila Sunset! Tells the story of how you drove the car into the sea and drank with these drunks, and other tales of everything (in exchange of alcohol): cocaine skull, headless falnrider etc."
412,KIM SWITCH / VILLAGE AND JACKET,kim switch about wearing stuffz
413,VILLAGE ORB / spirit necktie,horrific necktie reacting to the bottle and urging you to buy it because otherwise buying the medicial spirit lacks foreshadowing and is too missable.
414,VILLAGE / ROSEMARY barks,Stuff Rosemary says.
415,VILLAGE / IDIOT barks,Lines from our very own: IDIOT... *DOOM* SPI-IIIIIIIIIIIRAL!!!!
416,VILLAGE / ABBY barks,"Just *please* don't call her, alright?"""
417,JAM / HORSEBACK MONUMENT,"On the traffic island in the jam, an old monument of Filippe III The Squanderer pointing towards an unknown location in the sea. The chest region seems to have suffered chip damage."
418,COAST ORB / reeds at lands end,"These reeds are in the north, at Land's End. The interactable reeds you can search when Morell tells you to check the phasmid traps. There are traps in these reeds."
419,COAST ORB / reeds by feld,These reeds are somewhere near Feld. The interactable reeds you can search when Morell tells you to check the phasmid traps. There are traps in these reeds.
420,COAST ORB / reeds near sunken car,These reeds are near your sunken car. The interactable reeds you can search when Morell tells you to check the phasmid traps. There are traps in these reeds.
421,COAST / SMALL BUOY,Here you can find Klaasje's buoy if you know about it.
422,COAST ORB / reeds with buoy,Visual Calculus notes that this is a good place to hide things.
423,WHIRLING F1 ORB / speaker,The speaker is connected to the radio. The music is seasoned with static.
424,WHIRLING F1 ORB / karaoke mic,A big old karaoke mic just waiting for someone to sing into it.
425,WHIRLING F1 ORB / lyrics stand,This is where the lyrics would be.
426,WHIRLING F1 ORB / dialogue karaoke inspiration,
427,WHIRLING F1 ORB / stage presence,This feels right. You *belong* here.
428,WHIRLING F1 ORB / mess hall door,"A sign reads: ""Mess hall reserved for Union members. Doors open: 16:00."""
429,WHIRLING F1 ORB / mess hall window,"Inside you catch a glimpse of Union paraphernalia: a strike poster, some red pennants."
430,WHIRLING F1 ORB / water cooler,This is a water cooler. A large bubble is rising to the surface.
431,WHIRLING F1 ORB / menu,The menu has been wiped clean. Only the word MONDAY is written on it.
432,WHIRLING F1 ORB / sound from kitchen,The soft purr of an electric juicer comes from the kitchen. Someone is working.
433,WHIRLING F1 ORB / kitchen door,"The door is bolted. A sign reads: ""Kitchen reserved for personnel until 13.00."""
434,WHIRLING F1 ORB / handwriting,A woman's hand wrote yesterday's menu. Today's starts in a man's handwriting.
435,WHIRLING F1 ORB / broken pinball,This Royal Pinball machine is unplugged.
436,WHIRLING F1 ORB / royalism theme,royalism themed afterthought
437,WHIRLING F1 ORB / spilled rum,"A bottle of rum has been knocked over. Beautiful, dark liquid is spilling out..."
438,WHIRLING F1 ORB / alcohol impulse,
439,WHIRLING F1 ORB / summerdoor,Summer door closed for the winter.
440,WHIRLING / MONEYMAN barks,A wildly succesful barking moneyman exclaims lots of comments about money.
441,WHIRLING F1 ORB / lena out,Isn't Lena usually here? She must be out for a stroll.
442,WHIRLING F1 / KARAOKE STAND,Sing karaoke!
443,WHIRLING F1 ORB / undonedishes,The dishes are drying. They smell of chemicals and pine trees.
444,WHIRLING F1 / cuttingboard,"The tomatoes are so thinly sliced, you can see through them."
445,WHIRLING / SLEEPER barks,Zzzzzzz...
446,WHIRLING F1 ORB / hidden door,"There's a door there, partially obscured by posters."
447,WHIRLING F1 ORB / door conclusion,Could it lead to the same room as the kitchen door?
448,WHIRLING F1 ORB / door been there,It used to lead to the pinball repair shop.
449,KINEEMA ORB / torque talk,"Kim has a sweet ride, the Coupris Kineema - the sports version of the Coupris 40 police motor-carriage. You should definitely talk about it."
450,KINEEMA / SYLVIE,Your wildly successful phone call to Sylvie Malaiika.
451,PLAZA / COUPRIS KINEEMA,"Lieutenant Kitsuragi's Coupris Kineema. With the built in shortwave radio and a trunk full of goodies, here lies the answer to the question that's been bothering you - what tore me from the soft abyss this morning.

* Gain item: Crowbar
* Gain item: bodybags
* Gain item: Chaincutters
* Gain item: Fire extinguisher
* Gain secret task: Cut something.
* Gain task: Get a Primer-book."
452,KINEEMA / STATION CALL,"Your first contact with the colleagues back in station 41.

* Report your badge missing
* Report your gun missing
* Get laughed at
* Beg your station for additional funds
* Get a panic attack
* Get an aweseome Firewalker persona
* Get the ""Find your badge"" quest
* Get the ""Find your gun"" quest.
* Get the ""Check the local pawnshops"" quest."
453,KINEEMA / SERIAL NUMBER,"1. Ask Alice to run the serial number you got from the boot.
2. Come back the next day to get results and ask for Alice to try to get more personal info on the mercenary (finish task to run serial number, gain task to get personal info from serial number).
3. Come back the next day to get personal info (finish task to get personal info from serial number)."
454,KINEEMA / REPORTING THE CORPSE ON THE BOARDWALK,You report to the station that you have found a dead body from the boardwalk.
455,KINEEMA / CALLING THE LIBRARY,Calling Jamrock Public Library to see if you can find out anything about the dead man found at the boardwalk. You'll get Working Class Woman's home address from here.
456,KINEEMA / LAZARETH CALL,Here you can complete TASK.call_station_lazareth and get mocked by Nix Gottlieb.
457,KINEEMA ORB / halogen watermarks,the dialogue where-in you've turned on the lights of the kineema and you can look at the halogen watermarks stuff on your ledger
458,PLAZA / TIRETRACKS VISCAL,You notice a set of a motor carriage tracks backing into the fence.
459,WHIRLING / LENA INTRO,There's a broken pinball machine in the corner. A woman in a wheelchair is attempting to revive it. Talking to her will give you a short introduction to the world you're in.
460,WHIRLING / LENA MAIN,"1. Learn Morell is missing.
2. Report on looking for Morell.
3. Cryptids white check.
4. Ask about Gary.
5. Finish Cryptozoologists case."
461,WHIRLING F1 / GARTE barks,Garte says the phone is disconnected.
462,WHIRLING F1 / LENA barks,Lena checks with Garte about the phone.
463,WHIRLING / LENA CRYPTIDS CHECK,White check leading to the first batch of cryptids.
464,WHIRLING / LENA DAY 2 BARKS,Lena's barks for when it's Day 2 or later and the player hasn't gotten the TASK.get_morell_back_to_lena
465,WESTCOAST / EXECUTIONS VISCAL,"An easy PERCEPTION check highlights a scattering of bullet holes in the wall. Pass a medium VISUAL CALCULUS and the interact appears as a ghostly mass execution perpetrated by dotted lines against a row of figures facing the wall. Either way, dialogue with the object has you and Lt Kitsuragi figure out it was an execution after the amphibious assault. You may relive it as an INLAND EMPIRE dream sequence later."
466,BOOKSTORE / PLAISANCE,Inside the book shop. Speaking with the proprietor.
467,BOOKSTORE / CURTAINS,"The curtains hanging in front of the back room. Curious trinkets attached. Very suspect. Can open, but Plaisance doesn't like that."
468,INVENTORY / GREATEST INNOSSENCE,"""The Greatest Innocence"" by João Paolo Salomao Lopez de Fuego."
469,BOOKSTORE / COCKATOO,From A to Zrieek! Guide to a Well-Behaved Cockatoo. (Helen)
470,INVENTORY / HJELMWOMAN,Man from Hjelmdall and the Devil Woman.
471,INVENTORY / WIRRAL MODULE,"Super-popular binoclard fantasy board game (module), feat. faeries and welkin and pygmies and such fantasy folk. The non-grimdark pastoral-bucolic version with maps & miniatures. Basic Wirral info."
472,BOOKSTORE ORB / millionart,A vaguely androgynous portrait of a man.
473,BOOKSTORE ORB / hairdrier,Ghostly silhouettes of hairdriers.
474,BOOKSTORE ORB / hairdrierthought,No sane person would ever put their head in to such machine.
475,BOOKSTORE ORB / millionstar,Looks like Guillaume Le Million... that hair poster.
476,BOOKSTORE / PRIMERBOOK,A primer-book (quest item for Arx)
477,BOOKSTORE ORB / greatideas,A quaint picture book brochure. Very colourful.
478,BOOKSTORE / MAP WALL,Different maps attached to the wall. Including the Map of Martinaise (fast travel?)
479,BOOKSTORE / HJELMSERIES,A shelf full of Hjelmdall books. There are so many.
480,BOOKSTORE / ROMANCE,Shelf of romance books.
481,BOOKSTORE / CRIME,Shelf of crime books.
482,BOOKSTORE / BOARD GAME MOUNTAIN,A mountain of different board games.
483,BOOKSTORE ORB / nomillion,Merely looking at that unmanly haircut threatens your masculinity.
484,BOOKSTORE ORB / windoworb,Gift books and molten candy.
485,BOOKSTORE ORB / balconyorb,Another boring book. Just discarded here.
486,BOOKSTORE ORB / stufforb,The book collects the national recipes of Arda. They are all about lake trout.
487,BOOKSTORE ORB / shelforb,It's a... *Tome of Fascist Magic*. Rather candid.
488,BOOKSTORE / BIOGRAPHIES,Shelf full of biographies of famous people.
489,BOOKSTORE / PARANORMAL,Shelf of paranormal books.
490,BOOKSTORE ORB / balconythought,Must be Jan Kaus again.
491,INVENTORY / CODEX URIK,An introductory race creation and dweorg cultural backstory manual available to purchase in the board game mountain.
492,INVENTORY / HJELMDALLERMANN,Hjelmdallermann: the Man from Hjelmdall. A latter introductory book for beginners.
493,INVENTORY / PALE MEDICINE,Medicinal Purposes of the Pale.
494,INVENTORY / MULLEN IDENTITY,"""Dick Mullen and the Mistaken Identity"". Dick Mullen is mistaken for someone (an identity)."
495,INVENTORY / BAD ROMANCE,"Excrutiating Love Story book. Graad-y black-and-white-rainbow book. Ends with lensgrinder in somewhere. ""Sixteen Days in Coldest April."" something thought it was a romance book, but its misplaced."
496,INVENTORY / SUZERAINTY GAME,Information about: colonies of Revachol.
497,BOOKSTORE ORB / tome comment,Everyone knows the most interesting thing about fascists was their magic.
498,INVENTORY / COCKATOO,From A to Zrieek! Guide to a Well-Behaved Cockatoo. After you have bought it. (Helen)
499,INVENTORY / PRIMER,Primerbook interaction!
500,BOOKSTORE ORB / bookstorerug,Second Shivers in the coat quest. Points you to the Harbour. Normal diff.
501,BOOKSTORE ORB / sports mags,"Old sports magazines, tucked away in a dark corner."
502,BOOKSTORE / BACK DOOR,"It's the back door of ""Crime, Romance, and Biographies of Famous People"". You can look at it, use a key object on it or try to force it open."
503,DOOMED F2 / BACK DOOR,"It's the back door of ""Crime, Romance, and Biographies of Famous People"", if you come from THE OTHER SIDE, from inside the Doomed Commercial Area."
504,INVENTORY / MAP OF MARTINAISE,"because the map is possibly a readable items, it might need some sort of an interaction dialogue?"
505,BACKYARD / STONE,First follow-up convo with Kim where you discover keys under the stone.
506,BACKYARD / KIM barks,Kim barks when you step in the courtyard.
507,BACKYARD / SMOKER ON THE BALCONY,"The balcony overlooks the scene of the hanging but he's not a witness. He told as much to the investigator before, who you can ascertain was from Whitewater: foreshadowing for the HONOUR COURT's arrival later. EDITED VERSION"
508,BACKYARD ORB / balcony,A balcony with a view to the yard -- *and* the hanging.
509,BACKYARD / STONE PERC,First follow-up convo with Kim where you discover keys under the stone. Difficult perception finds the stone.
510,BACKYARD / SMOKER ON THE BALCONY barks balcony,Barks on the balcony.
511,BACKYARD ORB / witness logic,That smoker up there could be a witness. Talk to him.
512,BACKYARD / SMOKER ON THE BALCONY barks apartment,Barks inside the apartment building.
513,BACKYARD / SMOKER ON THE BALCONY barks whirling,Barks inside Whirling.
514,LAIR / INSTIGATORS TENT,"1. Find Ruby's journal here.
2. Use to stow away Ruby's body if she killed herself."
515,LAIR / INSTIGATOR,"You are caught in the ray of the Pale Compressor and talk to Ruby. You can:
1. Ask about the Compressor.
2. Ask about the murder and why Ruby went into hiding.
3. Try to destroy the Compressor.
4. Try to stop Ruby from killing herself if you destroy the Compressor.
5. Let Ruby go."
516,LAIR ORB / beware inland empire,"There's something in the air, an unnatural buzzing."
517,LAIR ORB / beware shivers,A dialogue with Pain Threshold foreshadowing end game.
518,LAIR / KIM DOOR barks,Kim wants you to let him in.
519,LAIR ORB / shelves,"Old file folders in the cart, documents silvery with mould."
520,LAIR / KRAS MAZOV PORTRAIT,"This portrait is covered in cobwebs. You can:
1. Compare to weapons cache.
2. Learn about Mazov.
3. React depending on political persuasion.
4. Speculate about who may have stayed here (foreshadows deserter)."
521,LAIR ORB / bunker pamphlets,Revolutionary propaganda on the bunk bed: ancient flyers and brochures.
522,LAIR ORB / bunker bunk bed,"Stale fabric smell and dust. No one's slept here in months, maybe years."
523,LAIR ORB / footprints,Boot prints in the sand. One of the soles appears more worn than the other.
524,LAIR ORB / slit window,You can see the beach through this slit window.
525,LAIR ORB / shot viscal,You decide that the shot that killed the merc couldn't have come from this bunker.
526,LAIR ORB / slit window 2,The same slit window you saw from the outside.
527,INVENTORY / RUBY'S JOURNAL,Here you can learn about Ruby's involvement with La Puta Madre.
528,LAIR / INSTIGATOR CASE,Here you can present your case to Ruby and find yourself left without much of a case.
529,LAIR ORB / wearing revolutionary hat,"Putting the hat on gives a one time +1 to Mazovian Socio-Economics, you communist failure."
530,LAIR / EXIT DOOR,"Door interactable, open the door, let Kim in. Kim possibly hidden behind fog of war."
531,LAIR / FLASHLIGHT,You should take out your flashlight...
532,LAIR / DRAINAGE PIPE,Alternate path into Feld building.
533,LAIR ORB / furniture,"Antiquated office furniture. Last-century, maybe?"
534,LAIR ORB / lastcentury,"Brought down and forgotten, so long ago..."
535,LAIR ORB / basementdoor,This collapse nearly sealed the basement. One can barely squeeze by.
536,LAIR ORB / overturned,This overturned table is covered in orange mildew. Crawling with something...
537,LAIR ORB / darkwater,Dark water trails into the distance. There is no way out.
538,LAIR ORB / giantpipe,"A concrete pipe, buried in sand and dust."
539,LAIR ORB / somethinghere,It feels... strange.
540,LAIR ORB / buzzingworsens,"It's getting louder, the buzzing sound..."
541,LAIR ORB / doortorevolution,In the beam of the flashlight -- a crevice in the wall...
542,LAIR ORB / dustyglass,"A series of thick, dusty panes of glass."
543,LAIR ORB / wiresinglass,A brief convo with Interfacing about the times they made computer parts with glass
544,LAIR / KIM barks,
545,LAIR ORB / cookingpot,Cooking utensils. She has prepared herself porridge with bananas.
546,LAIR ORB / collapsedpath,The tunnel collapsed. You'll have to find another way around.
547,LAIR ORB / flashlight,It's so dark. Time to get out the flashlight.
548,LAIR / Door to Outside,This prevents the player from leaving the main lair -- only fires if they have dealt with Ruby but not read her journal.
549,LAIR / Door to Stairwell,This prevents the player from leaving the main lair -- only fires if they have dealt with Ruby but not read her journal.
550,LAIR ORB / clean foodstuff,These pots and plates are full of dust and spider-webs.
551,VILLAGE / WASHERWOMAN,The Washing Woman who gives you access to the alternate sleeping location -- the shack. Includes fishing village mood and Evrart quest stuff.
552,VILLAGE / WASHERWOMAN barks,The lullaby the Washerwoman is singing to herself.
